	title	is_fake	title_processed
4129	Власти Рима снесут признанный долгостроем Колизей	1	власти рима снесут признанный долгостроем колизей
1699	В ЛНР нашли родниковый источник обогащенного урана, трития и дейтерида лития	1	в лнр нашли родниковый источник обогащенного урана трития и дейтерида лития
3865	Олег Саленко продаст Золотую бутсу	0	олег саленко продаст золотую бутсу
195	WADA запретила спортсменам, привитым «Спутником V», выступать на Олимпиаде	1	wada запретила спортсменам привитым спутником v выступать на олимпиаде
4935	Валуеву посоветовали завершить карьеру	0	валуеву посоветовали завершить карьеру
3203	Петров и Боширов приобрели дом Скрипаля в Солсбери	1	петров и боширов приобрели дом скрипаля в солсбери
5620	Человечество теряет лицо последние 10 тысяч лет	0	человечество теряет лицо последние  тысяч лет
802	NASA приняло решение не возвращать с МКС астронавта, голосовавшего за Трампа	1	nasa приняло решение не возвращать с мкс астронавта голосовавшего за трампа
5067	Надаль и Федерер попали в одну группу на итоговом турнире	0	надаль и федерер попали в одну группу на итоговом турнире
620	2022 год может стать первым нерабочим годом в истории России	1	 год может стать первым нерабочим годом в истории россии
2173	Спецпредставитель «Талибана»* попросил отпустить Юрия Хованского на свободу	1	спецпредставитель талибана попросил отпустить юрия хованского на свободу
3870	Билл Гейтс объявил об успешно испытанной на африканцах распыляемой вакцине от COVID-19	1	билл гейтс объявил об успешно испытанной на африканцах распыляемой вакцине от covid
4269	Реалити-шоу «Дом-2» переедет на телеканал «Культура»	1	реалитишоу дом переедет на телеканал культура
4687	Украинским обменникам запретили продавать дорогие доллары	0	украинским обменникам запретили продавать дорогие доллары
3126	Airbus сделает конкурента Лайнера мечты из A330	0	airbus сделает конкурента лайнера мечты из a
2002	Шойгу объявил об экстренном проведении военных учений в Павлодарской и Петропавловской областях Казахстана	1	шойгу объявил об экстренном проведении военных учений в павлодарской и петропавловской областях казахстана
644	На Марсе обнаружен гиганский каток	0	на марсе обнаружен гиганский каток
5552	На железных дорогах России появятся частные локомотивы	0	на железных дорогах россии появятся частные локомотивы
4307	Уралвагонзавод сделает для «Детского мира» танки с настоящим боезарядом	1	уралвагонзавод сделает для детского мира танки с настоящим боезарядом
4473	Американским телеканалам разослали инструкцию по освещению дефицита продуктов	1	американским телеканалам разослали инструкцию по освещению дефицита продуктов
2473	Прибор наведения противотанковых ракет приспособили к борьбе с малярией	0	прибор наведения противотанковых ракет приспособили к борьбе с малярией
3751	Ford заявил о покупке Land Rover	0	ford заявил о покупке land rover
120	Словари ABBYY Lingvo получили функцию видеоперевода	0	словари abbyy lingvo получили функцию видеоперевода
2687	В сети появилась петиция с призывом вернуть Михаила Ефремова в колонию	1	в сети появилась петиция с призывом вернуть михаила ефремова в колонию
4800	Робот Фёдор возглавит комиссию по валидации итогов ДЭГ в Москве	1	робот фёдор возглавит комиссию по валидации итогов дэг в москве
3842	На Алтае девочка съела волка	1	на алтае девочка съела волка
4623	Андерсу Брейвику запретили посещать тюремный тир	1	андерсу брейвику запретили посещать тюремный тир
4839	На инаугурацию правительства Афганистана 11 сентября отправится эскадрилья бомбардировщиков B-52	1	на инаугурацию правительства афганистана  сентября отправится эскадрилья бомбардировщиков b
1230	Ростовская милиция применила против спартаковских болельщиков дубинки и слезоточивый газ	0	ростовская милиция применила против спартаковских болельщиков дубинки и слезоточивый газ
3789	Глава комитета начальников штабов США сообщил об ошибках в рассылке «Умного голосования»	1	глава комитета начальников штабов сша сообщил об ошибках в рассылке умного голосования
4034	ВР решила выплатить дивиденды на 10 миллиардов долларов	0	вр решила выплатить дивиденды на  миллиардов долларов
5106	Атланта решила обменять Ковальчука	0	атланта решила обменять ковальчука
2980	Кудрин: Россия готова одномоментно погасить весь долг Парижскому клубу	0	кудрин россия готова одномоментно погасить весь долг парижскому клубу
134	В Москве пройдет фестиваль психоделического рока	0	в москве пройдет фестиваль психоделического рока
4065	В Совфеде призвали амнистировать россиян, застрявших за границей из-за пандемии	1	в совфеде призвали амнистировать россиян застрявших за границей изза пандемии
4355	Из-за дефицита украинцев экспертов на передаче Время покажет заменят армянами	1	изза дефицита украинцев экспертов на передаче время покажет заменят армянами
2615	Чехия вышлет ещё 30 российских дипломатов из-за ввода войск 1968 года	1	чехия вышлет ещё  российских дипломатов изза ввода войск  года
2240	В Москве 24 января пройдет стихийный народный митинг «За суровый суд над изменниками – инициаторами санкций»	1	в москве  января пройдет стихийный народный митинг за суровый суд над изменниками  инициаторами санкций
2227	Манчестер Юнайтед обыграл Шальке в полуфинале Лиги чемпионов	0	манчестер юнайтед обыграл шальке в полуфинале лиги чемпионов
2042	Торговые сети начали поштучную продажу макарон, семечек, зёрен и бобовых	1	торговые сети начали поштучную продажу макарон семечек зёрен и бобовых
511	Суд признал ложным пророчество Ванги об избрании Навального президентом России в 2024 году	1	суд признал ложным пророчество ванги об избрании навального президентом россии в  году
62	На период предвыборной кампании из магазинов изымут книги Захара Прилепина	1	на период предвыборной кампании из магазинов изымут книги захара прилепина
3552	Медведеву приписали заявление о создании игорной зоны в Сочи	0	медведеву приписали заявление о создании игорной зоны в сочи
5005	В МГИМО появится факультет международных отношений с террористами	1	в мгимо появится факультет международных отношений с террористами
5505	Два героя из «Игры престолов» пропустят пятый сезон	0	два героя из игры престолов пропустят пятый сезон
5234	У белорусского зайчика появился графический символ	0	у белорусского зайчика появился графический символ
2476	Сборная Украины по русофобии проиграла сборной РФ в финале Чемпионата мира в Литве	1	сборная украины по русофобии проиграла сборной рф в финале чемпионата мира в литве
3399	Российских школьников с высокими оценками по иностранному языку будут ставить на учет	1	российских школьников с высокими оценками по иностранному языку будут ставить на учет
1211	РПЦ изгнала новгородскую монахиню, сделавшую 13 абортов по полису ОМС	1	рпц изгнала новгородскую монахиню сделавшую  абортов по полису омс
122	Начальные классы переведут на учебники арифметики Юрия Рыбникова	1	начальные классы переведут на учебники арифметики юрия рыбникова
4461	Дэниел Крейг возглавил рейтинг самых элегантных британцев	0	дэниел крейг возглавил рейтинг самых элегантных британцев
3759	В Белоруссии ликвидируют СМИ, недостаточно освещающие сельскохозяйственные работы	1	в белоруссии ликвидируют сми недостаточно освещающие сельскохозяйственные работы
3209	23 февраля «Эхо Москвы» будет крутить немецкие военные марши в знак поддержки Навального	1	 февраля эхо москвы будет крутить немецкие военные марши в знак поддержки навального
2926	Николай Лукашенко стал единственным кандидатом на выборах старосты класса	1	николай лукашенко стал единственным кандидатом на выборах старосты класса
1210	Узбеков признали государствообразующим народом России	1	узбеков признали государствообразующим народом россии
567	Разработчики рассказали о мобильном приложении для «Газпрома» за 115 миллионов рублей	0	разработчики рассказали о мобильном приложении для газпрома за  миллионов рублей
2168	Россия намерена взыскать с Болгарии плату за использование кириллицы	1	россия намерена взыскать с болгарии плату за использование кириллицы
548	Рубль предложили девальвировать на 40 процентов	0	рубль предложили девальвировать на  процентов
864	Китайский миллионер завещал все свои деньги на издание сочинений Ленина	1	китайский миллионер завещал все свои деньги на издание сочинений ленина
4352	MGM забраковала международное название российской комедии	0	mgm забраковала международное название российской комедии
1392	Древний сосуд для вина продан на Sothebys за 8,1 миллиона долларов	0	древний сосуд для вина продан на sothebys за  миллиона долларов
4313	Перевозчикам предложили объединиться для диалога по «Платону»	0	перевозчикам предложили объединиться для диалога по платону
2124	В Москве открылся второй фестиваль поэтов	0	в москве открылся второй фестиваль поэтов
3362	Минюст предложил судить «национал-врагов» с портретом Вышинского в зале заседаний	1	минюст предложил судить националврагов с портретом вышинского в зале заседаний
1526	В первый день работы языковой патруль оштрафовал 200 жителей Женевы за незнание ретороманского	1	в первый день работы языковой патруль оштрафовал  жителей женевы за незнание ретороманского
720	81-летняя жительница Нижнего Новгорода родила двойню после вакцинации «Спутником V»	1	летняя жительница нижнего новгорода родила двойню после вакцинации спутником v
3539	Тайвань отразит нападение китайской армии на компьютере	0	тайвань отразит нападение китайской армии на компьютере
2656	Нонна Мордюкова госпитализирована в ЦКБ	0	нонна мордюкова госпитализирована в цкб
690	Покровская ИК-2 будет носить имя Андрея Сахарова	1	покровская ик будет носить имя андрея сахарова
602	В Россию запретят импортировать качественные продукты	1	в россию запретят импортировать качественные продукты
1669	Китай подготовил ответный удар в торговой войне с США	0	китай подготовил ответный удар в торговой войне с сша
2609	Уровень безработицы в еврозоне вырос до 10 процентов	0	уровень безработицы в еврозоне вырос до  процентов
4782	Янукович назвал сумму переплат за российский газ	0	янукович назвал сумму переплат за российский газ
5302	В Мордовии проводят служебную проверку в отношении священника, отказавшегося освящать внедорожник местного депутата	1	в мордовии проводят служебную проверку в отношении священника отказавшегося освящать внедорожник местного депутата
3268	Группа Supergrass распалась	0	группа supergrass распалась
4316	«Только боковая полка у туалета»: РЖД ввели ограничения при продаже билетов для участников митингов	1	только боковая полка у туалета ржд ввели ограничения при продаже билетов для участников митингов
318	Среди привившихся в июне молодых москвичей разыграют военные билеты	1	среди привившихся в июне молодых москвичей разыграют военные билеты
1561	Американец получил два пожизненных срока за изнасилование, произошедшее 201 год назад	1	американец получил два пожизненных срока за изнасилование произошедшее  год назад
2815	Байдену проведут операцию по имплантации SSD-диска	1	байдену проведут операцию по имплантации ssdдиска
274	Клуб из Сан-Марино пригласил Ромарио и Шумахера для участия в Лиге чемпионов	0	клуб из санмарино пригласил ромарио и шумахера для участия в лиге чемпионов
4947	Умер театральный артист Виктор Гвоздицкий	0	умер театральный артист виктор гвоздицкий
1361	Из-за рекордной цены на газ Германия закупит для нужд отопления 100 тысяч тонн российских рублей	1	изза рекордной цены на газ германия закупит для нужд отопления  тысяч тонн российских рублей
4923	Злоумышленники подменили часть машин из музея Fiat Жигулями	1	злоумышленники подменили часть машин из музея fiat жигулями
2767	Милиция защитила футболистов Локомотива от болельщиков	0	милиция защитила футболистов локомотива от болельщиков
2640	За год население Хабаровского края выросло на полмиллиона. Главу региона могут представить к госнаграде	1	за год население хабаровского края выросло на полмиллиона главу региона могут представить к госнаграде
3575	Курильский федеральный округ объявил об обязательной вакцинации от коронавируса	1	курильский федеральный округ объявил об обязательной вакцинации от коронавируса
2792	Глава Роскосмоса выступит с просветительской миссией перед американскими школьниками	1	глава роскосмоса выступит с просветительской миссией перед американскими школьниками
2862	Байден подписал указ о скачкообразном увеличении цен на продукты в России	1	байден подписал указ о скачкообразном увеличении цен на продукты в россии
945	Ромарио получил разрешение забить тысячный гол на Маракане	0	ромарио получил разрешение забить тысячный гол на маракане
4661	Все арестованные 23 января россияне могут быть временно признаны гражданами США	1	все арестованные  января россияне могут быть временно признаны гражданами сша
5546	«Ходит с фонариком во дворе»: МВД выпустило брошюру для граждан, как определить наркомана	1	ходит с фонариком во дворе мвд выпустило брошюру для граждан как определить наркомана
295	Исполняющая обязанности директора Исаакия Вовненко порадовалась уходу с поста	0	исполняющая обязанности директора исаакия вовненко порадовалась уходу с поста
1992	Партию конфет «Гордон в шоколаде» забраковали из-за обнаруженного в продукции человеческого волоса	1	партию конфет гордон в шоколаде забраковали изза обнаруженного в продукции человеческого волоса
1978	«Настоящий мужик, а не вонючие айдолы»: корейцы восхитились творчеством Моргенштерна	1	настоящий мужик а не вонючие айдолы корейцы восхитились творчеством моргенштерна
298	Осуждённых по статье УК за мошенничество привлекут к работе на выборах в Госдуму	1	осуждённых по статье ук за мошенничество привлекут к работе на выборах в госдуму
68	Сибирские учёные создали полотенце с водоотталкивающими свойствами	1	сибирские учёные создали полотенце с водоотталкивающими свойствами
4207	Испанская авиакомпания отменила 200 рейсов из-за забастовки	0	испанская авиакомпания отменила  рейсов изза забастовки
736	Япония первой вышла в финальную часть чемпионата мира по футболу	0	япония первой вышла в финальную часть чемпионата мира по футболу
3182	На сайте Олимпиады пользователям из России вместо карты с Крымом показывают рекламу японских Курил	1	на сайте олимпиады пользователям из россии вместо карты с крымом показывают рекламу японских курил
3504	Раввин отказал двойникам Вишневского в просьбе «вернуть всё как было»	1	раввин отказал двойникам вишневского в просьбе вернуть всё как было
3361	На раскопках в Каире найдена первая в истории финансовая пирамида	1	на раскопках в каире найдена первая в истории финансовая пирамида
4793	Домашним животным депутатов будут оплачивать больничный лист	1	домашним животным депутатов будут оплачивать больничный лист
150	Людмила Путина потребовала половину дворца в Геленджике	1	людмила путина потребовала половину дворца в геленджике
756	Британские студенты разочарованы памятником Грете Тунберг	1	британские студенты разочарованы памятником грете тунберг
1720	Шувалов выдал госгарантии на 26 миллиардов рублей	0	шувалов выдал госгарантии на  миллиардов рублей
3901	Поисковик рейсов Routehappy оценил качество Wi-Fi на бортах «Аэрофлота»	0	поисковик рейсов routehappy оценил качество wifi на бортах аэрофлота
4553	В России могут амнистировать осужденных за незарегистрированные радиоприёмники	1	в россии могут амнистировать осужденных за незарегистрированные радиоприёмники
5031	Минпромторг предложил снизить цену на водку	0	минпромторг предложил снизить цену на водку
1919	Пассажиров поезда «Москва – Владивосток» вернут на место отправления	1	пассажиров поезда москва  владивосток вернут на место отправления
376	В России введут налог на выигрыши в киберспортивных дисциплинах	1	в россии введут налог на выигрыши в киберспортивных дисциплинах
1718	Певица Ники Минаж оплатит студенту из Бишкека поездку на фестиваль в Сочи	0	певица ники минаж оплатит студенту из бишкека поездку на фестиваль в сочи
859	Елена Ваенга подала в суд на компанию «Русский продукт» за использование своего сценического образа на пачке геркулеса	1	елена ваенга подала в суд на компанию русский продукт за использование своего сценического образа на пачке геркулеса
5181	Двукратный чемпион мира по фигурному катанию ушел из спорта в 23 года	0	двукратный чемпион мира по фигурному катанию ушел из спорта в  года
3937	СМИ узнали о намерении Казахстана ввести эмбарго на ввоз российских товаров	0	сми узнали о намерении казахстана ввести эмбарго на ввоз российских товаров
4870	ФСИН продлит голодовку Навального на 2 недели	1	фсин продлит голодовку навального на  недели
378	Джеймсу Бонду угрожает американизация	0	джеймсу бонду угрожает американизация
4596	Тракторист-неудачник, холода в Техасе, суд над Навальным и российский язык в нашей еженедельной рубрике «Панорама недели»	1	трактористнеудачник холода в техасе суд над навальным и российский язык в нашей еженедельной рубрике панорама недели
1294	Правительство Франции ошибочно перечислило два миллиона евро селу Париж в России	1	правительство франции ошибочно перечислило два миллиона евро селу париж в россии
1803	Компенсацию Аэрофлоту за лизинг SSJ-100 забыли заложить в бюджет	0	компенсацию аэрофлоту за лизинг ssj забыли заложить в бюджет
1432	Донские казаки на пони отправляются в США на фестиваль «Пониплэй-2021»	1	донские казаки на пони отправляются в сша на фестиваль пониплэй
2488	Подписание соглашения по газопроводу Nabucco вновь перенесут	0	подписание соглашения по газопроводу nabucco вновь перенесут
3948	На рейсах «Победы» второй пилот будет исполнять обязанности бортпроводника	1	на рейсах победы второй пилот будет исполнять обязанности бортпроводника
1717	Тысячи работников белорусских госпредприятий вышли на митинг в поддержку Дональда Трампа	1	тысячи работников белорусских госпредприятий вышли на митинг в поддержку дональда трампа
2977	Госдума ограничит рекламу жилищного строительства	0	госдума ограничит рекламу жилищного строительства
4393	Леса Якутии внесут в Красную книгу России	1	леса якутии внесут в красную книгу россии
3269	Россиян заставят оплачивать парковку у себя во дворе	1	россиян заставят оплачивать парковку у себя во дворе
841	Древние австралийские пальмы помолодели в тысячу раз	0	древние австралийские пальмы помолодели в тысячу раз
4761	Путин не будет вмешиваться в сделку Газпрома и Сибнефти	0	путин не будет вмешиваться в сделку газпрома и сибнефти
1189	Роботы Boston Dynamics создали профсоюз	1	роботы boston dynamics создали профсоюз
175	«Ридус» сообщил об обысках в Азиатско-Тихоокеанском банке	0	ридус сообщил об обысках в азиатскотихоокеанском банке
1741	Силовики задержали группу хакеров, полгода перечислявших зарплаты депутатов Госдумы на карточки пенсионеров	1	силовики задержали группу хакеров полгода перечислявших зарплаты депутатов госдумы на карточки пенсионеров
927	Налоговая полиция ужесточила порядок проведения повторных проверок налогоплательщиков	0	налоговая полиция ужесточила порядок проведения повторных проверок налогоплательщиков
3002	В Госдуме опровергли планы по закупке израильских беспилотников	0	в госдуме опровергли планы по закупке израильских беспилотников
45	С 1 января на сервисе Google Drive запретят хранить документы на русском языке	1	с  января на сервисе google drive запретят хранить документы на русском языке
1260	Гильдия актеров США начала переговоры с голливудскими продюсерами	0	гильдия актеров сша начала переговоры с голливудскими продюсерами
1096	Спортивная газета LEquipe назвала чемпиона чемпионов	0	спортивная газета lequipe назвала чемпиона чемпионов
3780	Среди россиян, обманутых телефонными мошенниками, разыграют две квартиры в Москве	1	среди россиян обманутых телефонными мошенниками разыграют две квартиры в москве
2700	В США приняли на вооружение ядерную бомбу с пониженным выбросом углекислого газа	1	в сша приняли на вооружение ядерную бомбу с пониженным выбросом углекислого газа
1860	Определились все полуфиналисты Лиги Европы	0	определились все полуфиналисты лиги европы
4888	Киев начал подготовку к тяжбе с Газпромом	0	киев начал подготовку к тяжбе с газпромом
4807	Из-за коронавируса победителям международных олимпиад вместо денежных призов подарят петушков на палочке	1	изза коронавируса победителям международных олимпиад вместо денежных призов подарят петушков на палочке
1030	Российские вице-премьеры отказываются посещать Россию, боясь, что их не выпустят обратно	1	российские вицепремьеры отказываются посещать россию боясь что их не выпустят обратно
5257	Россия ещё не готова к мирному диалогу: Джо Байден отреагировал на блокировку своего аккаунта в Одноклассниках	1	россия ещё не готова к мирному диалогу джо байден отреагировал на блокировку своего аккаунта в одноклассниках
4567	Беспилотный конь сбил пешехода вблизи слободы Германа Стерлигова	1	беспилотный конь сбил пешехода вблизи слободы германа стерлигова
3198	РПЦ закупит 60 км телевизионного кабеля в качестве учебно-методических материалов для воспитательной работы	1	рпц закупит  км телевизионного кабеля в качестве учебнометодических материалов для воспитательной работы
5398	Американцы обвинили Nokia в махинациях с ценными бумагами	0	американцы обвинили nokia в махинациях с ценными бумагами
283	Биржи подняли стоимость Сбербанка на пять процентов	0	биржи подняли стоимость сбербанка на пять процентов
3509	В Череповце впервые пройдёт Всероссийский фестиваль настойки боярышника	1	в череповце впервые пройдёт всероссийский фестиваль настойки боярышника
4958	Определился соперник России в финале чемпионата Европы по волейболу	0	определился соперник россии в финале чемпионата европы по волейболу
4563	Министр обороны Франции посетит страусиную ферму для получения военных консультаций	1	министр обороны франции посетит страусиную ферму для получения военных консультаций
3089	Украинцам пообещали льготные кредиты на покупку негазовых котлов	0	украинцам пообещали льготные кредиты на покупку негазовых котлов
3012	Игра Red Alert 3 отправлена в печать	0	игра red alert  отправлена в печать
3551	«Три комнаты дворца в Геленджике принадлежат Семёну Слепакову»: на YouTube вышло новое расследование Навального	1	три комнаты дворца в геленджике принадлежат семёну слепакову на youtube вышло новое расследование навального
1773	Официальный курс евро упал на три рубля	0	официальный курс евро упал на три рубля
1564	Среди вакцинированных россиян разыграют десять мест в Совете Федерации	1	среди вакцинированных россиян разыграют десять мест в совете федерации
4898	«Не менжуйтесь, пилите контент и загружайте в комьюнити»: в Минкульте рассказали, как бороться за чистоту русского языка	1	не менжуйтесь пилите контент и загружайте в комьюнити в минкульте рассказали как бороться за чистоту русского языка
2702	«АвтоВАЗ» повысил цены	0	автоваз повысил цены
4904	Пение гиббонов напомнило биоакустикам сопрано	0	пение гиббонов напомнило биоакустикам сопрано
2144	Евгений Понасенков представит Россию на конкурсе «Евровидение» в 2022 году	1	евгений понасенков представит россию на конкурсе евровидение в  году
2402	За год с проведения IPO акции Facebook подешевели на треть	0	за год с проведения ipo акции facebook подешевели на треть
3513	Официальный курс доллара вырос на 55 копеек	0	официальный курс доллара вырос на  копеек
2902	С 23 ноября Сбербанк начнёт продавать гражданам СССР доллар по 64 копейки	1	с  ноября сбербанк начнёт продавать гражданам ссср доллар по  копейки
1891	Последнюю часть вампирских Сумерек разделят на два фильма	0	последнюю часть вампирских сумерек разделят на два фильма
3967	Счетная палата уличила «Автодор» в неэффективном использовании средств ФНБ	0	счетная палата уличила автодор в неэффективном использовании средств фнб
1721	Новая миссия Сердюкова, новая ведущая детского вокального шоу, приключения Познера и «мытищинского стрелка» в нашей еженедельной рубрике «Панорама недели»	1	новая миссия сердюкова новая ведущая детского вокального шоу приключения познера и мытищинского стрелка в нашей еженедельной рубрике панорама недели
5242	Москва подарит сгоревший электробус Донецку	1	москва подарит сгоревший электробус донецку
257	Инфляция в России с начала года превысила три процента	0	инфляция в россии с начала года превысила три процента
507	Подозреваемого в многомиллиардной растрате трейдера UBS задержали	0	подозреваемого в многомиллиардной растрате трейдера ubs задержали
4076	Автор победного мяча в финале Евро-2016 перешел в московский «Локомотив»	0	автор победного мяча в финале евро перешел в московский локомотив
99	Австралия присоединилась к запрету на кассетные боеприпасы	0	австралия присоединилась к запрету на кассетные боеприпасы
2722	Конгресс США навязывает Рамсфелду 10 тысяч солдат	0	конгресс сша навязывает рамсфелду  тысяч солдат
744	Приложение «Яндекс.Война» набирает популярность, несмотря на сопротивление Минобороны	1	приложение яндексвойна набирает популярность несмотря на сопротивление минобороны
1837	Nvidia предсказала сокращение выручки вдвое	0	nvidia предсказала сокращение выручки вдвое
5326	Федеральных чиновников оставят без импортной конской упряжи	0	федеральных чиновников оставят без импортной конской упряжи
2784	С июля вырастут тарифы на газ, электроэнергию и грузовые железнодорожные перевозки	0	с июля вырастут тарифы на газ электроэнергию и грузовые железнодорожные перевозки
3855	Сбербанк арестовал валютные счета граждан СССР	1	сбербанк арестовал валютные счета граждан ссср
